run_id,scenario_id,dataset,scenario,model_label,model,request_rate,burstiness,seed,num_prompts,micro_batch,max_model_len,host,port,pp_size,tp_size,dtype,dataset_name,dataset_path,dataset_extra_args
0001_C001_GovReport-GAO-1K_capacity_probe_3B_qps-10_burst-1_seed-0_mb-1,C001,GovReport-GAO-1K,capacity_probe,3B,Qwen/Qwen2.5-3B,10,1,0,200,1,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,--custom-output-len 128 --skip-chat-template
0002_C002_GovReport-GAO-1K_capacity_probe_7B_qps-10_burst-1_seed-0_mb-1,C002,GovReport-GAO-1K,capacity_probe,7B,Qwen/Qwen2.5-7B,10,1,0,200,1,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,--custom-output-len 128 --skip-chat-template
0003_C003_GovReport-GAO-1K_capacity_probe_14B_qps-10_burst-1_seed-0_mb-1,C003,GovReport-GAO-1K,capacity_probe,14B,Qwen/Qwen2.5-14B,10,1,0,200,1,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,--custom-output-len 128 --skip-chat-template
0004_C004_GovReport-GAO-2K_capacity_probe_3B_qps-10_burst-1_seed-0_mb-1,C004,GovReport-GAO-2K,capacity_probe,3B,Qwen/Qwen2.5-3B,10,1,0,200,1,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_2K.jsonl,--custom-output-len 128 --skip-chat-template
0005_C005_GovReport-GAO-2K_capacity_probe_7B_qps-10_burst-1_seed-0_mb-1,C005,GovReport-GAO-2K,capacity_probe,7B,Qwen/Qwen2.5-7B,10,1,0,200,1,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_2K.jsonl,--custom-output-len 128 --skip-chat-template
0006_C006_GovReport-GAO-2K_capacity_probe_14B_qps-10_burst-1_seed-0_mb-1,C006,GovReport-GAO-2K,capacity_probe,14B,Qwen/Qwen2.5-14B,10,1,0,200,1,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_2K.jsonl,--custom-output-len 128 --skip-chat-template
0007_C007_GovReport-GAO-3K_capacity_probe_3B_qps-10_burst-1_seed-0_mb-1,C007,GovReport-GAO-3K,capacity_probe,3B,Qwen/Qwen2.5-3B,10,1,0,200,1,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3K.jsonl,--custom-output-len 128 --skip-chat-template
0008_C008_GovReport-GAO-3K_capacity_probe_7B_qps-10_burst-1_seed-0_mb-1,C008,GovReport-GAO-3K,capacity_probe,7B,Qwen/Qwen2.5-7B,10,1,0,200,1,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3K.jsonl,--custom-output-len 128 --skip-chat-template
0009_C009_GovReport-GAO-3K_capacity_probe_14B_qps-10_burst-1_seed-0_mb-1,C009,GovReport-GAO-3K,capacity_probe,14B,Qwen/Qwen2.5-14B,10,1,0,200,1,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3K.jsonl,--custom-output-len 128 --skip-chat-template
0010_C010_GovReport-GAO-3.5K_capacity_probe_3B_qps-10_burst-1_seed-0_mb-1,C010,GovReport-GAO-3.5K,capacity_probe,3B,Qwen/Qwen2.5-3B,10,1,0,200,1,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3.5K.jsonl,--custom-output-len 128 --skip-chat-template
0011_C011_GovReport-GAO-3.5K_capacity_probe_7B_qps-10_burst-1_seed-0_mb-1,C011,GovReport-GAO-3.5K,capacity_probe,7B,Qwen/Qwen2.5-7B,10,1,0,200,1,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3.5K.jsonl,--custom-output-len 128 --skip-chat-template
0012_C012_GovReport-GAO-3.5K_capacity_probe_14B_qps-10_burst-1_seed-0_mb-1,C012,GovReport-GAO-3.5K,capacity_probe,14B,Qwen/Qwen2.5-14B,10,1,0,200,1,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3.5K.jsonl,--custom-output-len 128 --skip-chat-template
0013_C013_GovReport-GAO-3.8K_capacity_probe_3B_qps-10_burst-1_seed-0_mb-1,C013,GovReport-GAO-3.8K,capacity_probe,3B,Qwen/Qwen2.5-3B,10,1,0,200,1,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3.8K.jsonl,--custom-output-len 128 --skip-chat-template
0014_C014_GovReport-GAO-3.8K_capacity_probe_7B_qps-10_burst-1_seed-0_mb-1,C014,GovReport-GAO-3.8K,capacity_probe,7B,Qwen/Qwen2.5-7B,10,1,0,200,1,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3.8K.jsonl,--custom-output-len 128 --skip-chat-template
0015_C015_GovReport-GAO-3.8K_capacity_probe_14B_qps-10_burst-1_seed-0_mb-1,C015,GovReport-GAO-3.8K,capacity_probe,14B,Qwen/Qwen2.5-14B,10,1,0,200,1,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3.8K.jsonl,--custom-output-len 128 --skip-chat-template
