run_id,source_run_id,scenario_id,dataset,scenario,model_label,model,request_rate,burstiness,seed,num_prompts,micro_batch,dataset_name,dataset_path,success,failed,duration_s,req_s,out_tok_s,total_tok_s,mean_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms,mean_itl_ms,p99_itl_ms,pp_makespan_ms,bubble_pct,overlap_pct,idle_pct,avg_power_w,max_power_w,energy_j,energy_per_request_j,energy_per_output_token_j,tokens_per_joule,output_tokens_per_second_per_watt
0001_E04_GovReport-GAO-1K_medium_poisson_3B_qps-auto-medium_burst-1_seed-0_mb-adaptive,0001_E04_GovReport-GAO-1K_medium_poisson_3B_qps-auto-medium_burst-1_seed-0_mb-adaptive,E04,GovReport-GAO-1K,medium_poisson,3B,Qwen/Qwen2.5-3B,2.34179515,1,0,200,adaptive,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,200,0,109.11959441401996,1.8328513872693015,234.6049775704706,2637.8397165579786,2181.167538149748,5113.209500403608,441.51783257403855,661.1752478533432,441.51783421181887,1466.4687262708107,,,,,89.47706737693265,137.0,10535.442131280899,52.6772106564045,0.41154070825316014,2.4298932765233223,2.6219564906186474
0002_E07_GovReport-GAO-1K_high_poisson_3B_qps-auto-high_burst-1_seed-0_mb-adaptive,0002_E07_GovReport-GAO-1K_high_poisson_3B_qps-auto-high_burst-1_seed-0_mb-adaptive,E07,GovReport-GAO-1K,high_poisson,3B,Qwen/Qwen2.5-3B,4.68359029,1,0,200,adaptive,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,200,0,98.05023432499729,2.039770749930898,261.09065599115496,2935.6380633005483,15350.85093083675,34047.375609725714,447.9018020231504,686.6909584383604,447.90180355797185,1336.4798031724058,,,,,93.56791991115271,141.0,9948.47869682312,49.7423934841156,0.38861244909465315,2.573257759317003,2.7903864512439007
0003_E05_GovReport-GAO-1K_medium_poisson_7B_qps-auto-medium_burst-1_seed-0_mb-adaptive,0003_E05_GovReport-GAO-1K_medium_poisson_7B_qps-auto-medium_burst-1_seed-0_mb-adaptive,E05,GovReport-GAO-1K,medium_poisson,7B,Qwen/Qwen2.5-7B,1.57015433,1,0,200,adaptive,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,200,0,156.29997569997795,1.279590729968541,163.78761343597324,1841.586978570724,2623.4404082619585,5313.448824994266,576.6481934997205,879.0833167412582,576.6481950913197,1778.057982348837,,,,,111.4749509291833,159.0,18426.361123800278,92.13180561900138,0.7197797313984483,1.3893139197697555,1.4692772866975525
0004_E08_GovReport-GAO-1K_high_poisson_7B_qps-auto-high_burst-1_seed-0_mb-adaptive,0004_E08_GovReport-GAO-1K_high_poisson_7B_qps-auto-high_burst-1_seed-0_mb-adaptive,E08,GovReport-GAO-1K,high_poisson,7B,Qwen/Qwen2.5-7B,3.14030866,1,0,200,adaptive,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,200,0,134.7578387199901,1.4841437195766765,189.9703961058146,2135.979641214753,19066.36692097294,41823.26119732577,611.0489505673776,942.7074907311627,611.0489519654982,1794.418306488078,,,,,116.71175386556077,157.0,16693.684658765793,83.46842329382896,0.6520970569830388,1.5335140517679262,1.627688641579663
0005_E06_GovReport-GAO-1K_medium_poisson_14B_qps-auto-medium_burst-1_seed-0_mb-adaptive,0005_E06_GovReport-GAO-1K_medium_poisson_14B_qps-auto-medium_burst-1_seed-0_mb-adaptive,E06,GovReport-GAO-1K,medium_poisson,14B,Qwen/Qwen2.5-14B,0.639992226,1,0,200,adaptive,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,200,0,355.05712243611924,0.5632896437276325,72.10107439713695,810.6864552528087,4402.290057218634,14765.116822246928,795.125550119652,995.8913275861277,795.1255518094889,3096.1812277929857,,,,,127.24754878793368,171.0,46190.08452343941,230.95042261719703,1.8043001766968518,0.5542315036684798,0.5666205367719742
0006_E09_GovReport-GAO-1K_high_poisson_14B_qps-auto-high_burst-1_seed-0_mb-adaptive,0006_E09_GovReport-GAO-1K_high_poisson_14B_qps-auto-high_burst-1_seed-0_mb-adaptive,E09,GovReport-GAO-1K,high_poisson,14B,Qwen/Qwen2.5-14B,1.27998445,1,0,200,adaptive,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,200,0,328.2100338549353,0.6093658918678808,77.99883415908874,876.999391576254,53495.95509774168,135012.15346084675,857.8194478476937,1162.531242514978,857.8194494229855,3226.1385187110864,,,,,126.21254809455363,167.0,42506.55356478691,212.53276782393456,1.6604122486244888,0.6022600717553219,0.6179958755024499
0007_E05_GovReport-GAO-2K_medium_poisson_3B_qps-auto-medium_burst-1_seed-0_mb-adaptive,0007_E05_GovReport-GAO-2K_medium_poisson_3B_qps-auto-medium_burst-1_seed-0_mb-adaptive,E05,GovReport-GAO-2K,medium_poisson,3B,Qwen/Qwen2.5-3B,1.03212466,1,0,200,adaptive,custom,/workspace/DATASET/vllm_custom/gov_report_gao_2K.jsonl,200,0,228.3923782480415,0.8756859643660856,112.08780343885896,2398.175474162071,4928.680223545525,13451.390564378811,707.0865279242971,1181.8070380334875,707.0865295875788,2034.799647280015,,,,,89.4787198285906,147.0,21228.948796987534,106.14474398493766,0.8292558123823255,1.205900501471497,1.2526755373074103
0008_E08_GovReport-GAO-2K_high_poisson_3B_qps-auto-high_burst-1_seed-0_mb-adaptive,0008_E08_GovReport-GAO-2K_high_poisson_3B_qps-auto-high_burst-1_seed-0_mb-adaptive,E08,GovReport-GAO-2K,high_poisson,3B,Qwen/Qwen2.5-3B,2.06424933,1,0,200,adaptive,custom,/workspace/DATASET/vllm_custom/gov_report_gao_2K.jsonl,200,0,211.5754750650376,0.9452891453440937,120.997010604044,2588.7924856679683,38353.55076933163,90686.63919675861,900.4342304287189,1447.6287601411334,900.4342319363706,2418.8767121732235,,,,,98.51683441365041,169.0,21710.31612920761,108.55158064603806,0.8480592237971724,1.17916293100677,1.2281861402083252
0009_E06_GovReport-GAO-2K_medium_poisson_7B_qps-auto-medium_burst-1_seed-0_mb-adaptive,0009_E06_GovReport-GAO-2K_medium_poisson_7B_qps-auto-medium_burst-1_seed-0_mb-adaptive,E06,GovReport-GAO-2K,medium_poisson,7B,Qwen/Qwen2.5-7B,0.701426576,1,0,200,adaptive,custom,/workspace/DATASET/vllm_custom/gov_report_gao_2K.jsonl,200,0,321.8079235928599,0.6214887370300832,79.55055833985065,1702.0245924490116,5380.867179608904,12048.876381213771,816.412354609159,1197.0693284258298,816.4123561416797,2562.746566659771,,,,,109.10975065488564,172.0,36126.75470113754,180.6337735056877,1.4112013555131853,0.7086160993916766,0.7290875275800898
0010_E09_GovReport-GAO-2K_high_poisson_7B_qps-auto-high_burst-1_seed-0_mb-adaptive,0010_E09_GovReport-GAO-2K_high_poisson_7B_qps-auto-high_burst-1_seed-0_mb-adaptive,E09,GovReport-GAO-2K,high_poisson,7B,Qwen/Qwen2.5-7B,1.40285315,1,0,200,adaptive,custom,/workspace/DATASET/vllm_custom/gov_report_gao_2K.jsonl,200,0,293.76097670802847,0.6808256230669525,87.14567975256992,1864.5260719717328,49240.816547693685,118505.52805603946,1248.2803517872262,1997.32454406455,1248.2803532514283,3634.3548048101366,,,,,111.63997051988689,167.0,33682.96237182617,168.41481185913085,1.3157407176494598,0.7600281625292229,0.7805956894000281
