run_id,source_run_id,scenario_id,dataset,scenario,model_label,model,request_rate,burstiness,seed,num_prompts,micro_batch,dataset_name,dataset_path,success,failed,duration_s,req_s,out_tok_s,total_tok_s,mean_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms,mean_itl_ms,p99_itl_ms,pp_makespan_ms,bubble_pct,overlap_pct,idle_pct,avg_power_w,max_power_w,energy_j,energy_per_request_j,energy_per_output_token_j,tokens_per_joule,output_tokens_per_second_per_watt
0001_E04_GovReport-GAO-1K_medium_poisson_3B_qps-auto-medium_burst-1_seed-0_mb-adaptive,0001_E04_GovReport-GAO-1K_medium_poisson_3B_qps-auto-medium_burst-1_seed-0_mb-adaptive,E04,GovReport-GAO-1K,medium_poisson,3B,Qwen/Qwen2.5-3B,2.34179515,1,0,200,adaptive,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,200,0,108.24664634512737,1.8476322985779303,236.49693421797508,2659.112404113357,2191.018978925422,4893.80210225936,434.7908765237456,658.1121675539249,434.7908782861269,1435.6761484593153,,,,,93.28719601281661,150.0,10928.20871090889,54.641043554544446,0.4268831527698785,2.342561409395966,2.5351489199598527
0002_E07_GovReport-GAO-1K_high_poisson_3B_qps-auto-high_burst-1_seed-0_mb-adaptive,0002_E07_GovReport-GAO-1K_high_poisson_3B_qps-auto-high_burst-1_seed-0_mb-adaptive,E07,GovReport-GAO-1K,high_poisson,3B,Qwen/Qwen2.5-3B,4.68359029,1,0,200,adaptive,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,200,0,89.35938370414078,2.2381533053336433,286.48362308270634,3221.1502370361795,10240.112212619279,25215.978303411976,419.97736288911085,615.8105844400427,419.97736453555353,1703.914164896123,,,,,102.68076109111833,148.0,10040.83366394043,50.20416831970215,0.39222006499767303,2.5495890935766705,2.7900418738470627
0003_E05_GovReport-GAO-1K_medium_poisson_7B_qps-auto-medium_burst-1_seed-0_mb-adaptive,0003_E05_GovReport-GAO-1K_medium_poisson_7B_qps-auto-medium_burst-1_seed-0_mb-adaptive,E05,GovReport-GAO-1K,medium_poisson,7B,Qwen/Qwen2.5-7B,1.57015433,1,0,200,adaptive,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,200,0,160.3164089070633,1.247532934173579,159.68421557421811,1795.449398862615,3236.809929427691,6523.889089412987,657.1565035876165,1041.0514846945725,657.1565053558278,2466.5067120688036,,,,,103.85790624127955,157.0,17479.74288892746,87.39871444463729,0.6828024565987288,1.4645524343619674,1.537525850013234
0004_E08_GovReport-GAO-1K_high_poisson_7B_qps-auto-high_burst-1_seed-0_mb-adaptive,0004_E08_GovReport-GAO-1K_high_poisson_7B_qps-auto-high_burst-1_seed-0_mb-adaptive,E08,GovReport-GAO-1K,high_poisson,7B,Qwen/Qwen2.5-7B,3.14030866,1,0,200,adaptive,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,200,0,132.0043018986471,1.5151021377588134,193.93307363312812,2180.534996662484,16589.577547088265,39403.24813176878,609.1730103710864,921.5519547972858,609.1730118592775,2287.1231392398477,,,,,119.89385002019347,187.0,16879.478447675705,84.39739223837853,0.6593546268623323,1.5166345381675643,1.6175397954145636
0005_E06_GovReport-GAO-1K_medium_poisson_14B_qps-auto-medium_burst-1_seed-0_mb-adaptive,0005_E06_GovReport-GAO-1K_medium_poisson_14B_qps-auto-medium_burst-1_seed-0_mb-adaptive,E06,GovReport-GAO-1K,medium_poisson,14B,Qwen/Qwen2.5-14B,0.639992226,1,0,200,adaptive,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,200,0,412.03059891890734,0.48540084286158186,62.13130788628248,698.5888930463886,21937.130932684522,61034.109099037,1039.6011094804155,1306.6898871395795,1039.601111005383,3923.9629877591506,,,,,106.28358688726158,167.0,44681.38604950905,223.40693024754523,1.7453666425589471,0.5729455207954832,0.5845804578668121
0006_E09_GovReport-GAO-1K_high_poisson_14B_qps-auto-high_burst-1_seed-0_mb-adaptive,0006_E09_GovReport-GAO-1K_high_poisson_14B_qps-auto-high_burst-1_seed-0_mb-adaptive,E09,GovReport-GAO-1K,high_poisson,14B,Qwen/Qwen2.5-14B,1.27998445,1,0,200,adaptive,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,200,0,348.60746186971664,0.5737111848591039,73.4350316619653,825.6851372492223,62328.72051555663,155256.7455923557,916.7690597614824,1251.499615899308,916.7690613604972,4364.345473633148,,,,,119.10786262010689,181.0,42538.054847717285,212.69027423858643,1.6616427674889565,0.6018140719326702,0.6165422672068717
0007_E05_GovReport-GAO-2K_medium_poisson_3B_qps-auto-medium_burst-1_seed-0_mb-adaptive,0007_E05_GovReport-GAO-2K_medium_poisson_3B_qps-auto-medium_burst-1_seed-0_mb-adaptive,E05,GovReport-GAO-2K,medium_poisson,3B,Qwen/Qwen2.5-3B,1.03212466,1,0,200,adaptive,custom,/workspace/DATASET/vllm_custom/gov_report_gao_2K.jsonl,200,0,220.72546317987144,0.9061029802303233,115.98118146948138,2481.476274233269,4085.2511069271713,8035.460361284203,674.8718011546623,1073.0569948844875,674.8718028048266,1816.5861219214275,,,,,98.69155164780858,148.0,22680.609461307526,113.40304730653763,0.8859613070823252,1.1287174643023976,1.1751885499112702
0008_E08_GovReport-GAO-2K_high_poisson_3B_qps-auto-high_burst-1_seed-0_mb-adaptive,0008_E08_GovReport-GAO-2K_high_poisson_3B_qps-auto-high_burst-1_seed-0_mb-adaptive,E08,GovReport-GAO-2K,high_poisson,3B,Qwen/Qwen2.5-3B,2.06424933,1,0,200,adaptive,custom,/workspace/DATASET/vllm_custom/gov_report_gao_2K.jsonl,200,0,210.06834413902834,0.9520711024771783,121.86510111707882,2607.365723021562,36637.42510518292,88515.68904488346,896.1380288274373,1414.7679086574024,896.1380305458374,2217.1094890125096,,,,,97.56896329027713,156.0,21372.851413488388,106.86425706744194,0.8348770083393902,1.1977812180851013,1.24901502493696
0009_E06_GovReport-GAO-2K_medium_poisson_7B_qps-auto-medium_burst-1_seed-0_mb-adaptive,0009_E06_GovReport-GAO-2K_medium_poisson_7B_qps-auto-medium_burst-1_seed-0_mb-adaptive,E06,GovReport-GAO-2K,medium_poisson,7B,Qwen/Qwen2.5-7B,0.701426576,1,0,200,adaptive,custom,/workspace/DATASET/vllm_custom/gov_report_gao_2K.jsonl,200,0,323.13430960522965,0.6189376802616171,79.22402307348699,1695.038204606471,6051.192894615233,12512.991428049278,963.1992797536307,1452.2184427592197,963.1992813565138,2513.956137765199,,,,,110.55280848592682,168.0,36654.72227740288,183.2736113870144,1.43182508896105,0.6984093292607496,0.7166170100832135
0010_E09_GovReport-GAO-2K_high_poisson_7B_qps-auto-high_burst-1_seed-0_mb-adaptive,0010_E09_GovReport-GAO-2K_high_poisson_7B_qps-auto-high_burst-1_seed-0_mb-adaptive,E09,GovReport-GAO-2K,high_poisson,7B,Qwen/Qwen2.5-7B,1.40285315,1,0,200,adaptive,custom,/workspace/DATASET/vllm_custom/gov_report_gao_2K.jsonl,200,0,294.36223418964073,0.6794349844183866,86.96767800555348,1860.7176342028038,47732.17201163992,119102.72566474507,1266.9480054396731,2010.0676377732527,1266.9480070954291,3237.580085094087,,,,,115.32049988890952,178.0,34885.67824316025,174.42839121580124,1.3627218063734472,0.733825491984499,0.7541389266377715
