run_id,source_run_id,scenario_id,dataset,scenario,model_label,model,request_rate,burstiness,seed,num_prompts,micro_batch,dataset_name,dataset_path,success,failed,duration_s,req_s,out_tok_s,total_tok_s,mean_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms,mean_itl_ms,p99_itl_ms,pp_makespan_ms,bubble_pct,overlap_pct,idle_pct,avg_power_w,max_power_w,energy_j,energy_per_request_j,energy_per_output_token_j,tokens_per_joule,output_tokens_per_second_per_watt
0001_E04_GovReport-GAO-1K_medium_poisson_3B_qps-auto-medium_burst-1_seed-0_mb-2,0001_E04_GovReport-GAO-1K_medium_poisson_3B_qps-auto-medium_burst-1_seed-0_mb-2,E04,GovReport-GAO-1K,medium_poisson,3B,Qwen/Qwen2.5-3B,2.34179515,1,0,200,2,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,200,0,118.72977810981683,1.684497378703208,215.61566447401063,2424.328627429657,2060.455531241605,4751.100440705195,490.31751742848655,677.6622594653549,490.31751959200574,1360.6822709692642,,,,,89.70985890666812,142.0,11397.450078248978,56.987250391244885,0.44521289368160066,2.2461164404532314,2.4034779131503456
0002_E04_GovReport-GAO-1K_medium_poisson_3B_qps-auto-medium_burst-1_seed-0_mb-4,0002_E04_GovReport-GAO-1K_medium_poisson_3B_qps-auto-medium_burst-1_seed-0_mb-4,E04,GovReport-GAO-1K,medium_poisson,3B,Qwen/Qwen2.5-3B,2.34179515,1,0,200,4,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,200,0,138.23783776001073,1.4467818886693824,185.18808174968095,2082.2084941729754,2124.251165135065,4340.654718654696,603.276136364434,757.2327284599604,603.2761382993941,1291.8941309768707,,,,,90.67904819422287,147.0,13367.472878694534,66.83736439347267,0.5221669093240052,1.9150964608128753,2.0422367177149
0003_E07_GovReport-GAO-1K_high_poisson_3B_qps-auto-high_burst-1_seed-0_mb-2,0003_E07_GovReport-GAO-1K_high_poisson_3B_qps-auto-high_burst-1_seed-0_mb-2,E07,GovReport-GAO-1K,high_poisson,3B,Qwen/Qwen2.5-3B,4.68359029,1,0,200,2,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,200,0,104.21161417290568,1.919171884893408,245.65400126635623,2762.072176738593,12937.32411788893,30919.44587444421,496.0629926482949,693.5416338730266,496.0629949652256,1377.5906612118706,,,,,95.72691323105785,143.0,10770.105599880219,53.850527999401095,0.42070724999532105,2.376949767352765,2.5661957852272597
0004_E07_GovReport-GAO-1K_high_poisson_3B_qps-auto-high_burst-1_seed-0_mb-4,0004_E07_GovReport-GAO-1K_high_poisson_3B_qps-auto-high_burst-1_seed-0_mb-4,E07,GovReport-GAO-1K,high_poisson,3B,Qwen/Qwen2.5-3B,4.68359029,1,0,200,4,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,200,0,125.73755919397809,1.5906146205005907,203.5986714240756,2289.21256182445,14611.642665419495,32365.517064800955,613.1939327493346,785.552858160992,613.1939350058577,1276.3099073595367,,,,,91.13991819357861,129.0,12249.066227912903,61.24533113956451,0.47847914952784776,2.0899552279065388,2.2339132562269564
0005_E05_GovReport-GAO-1K_medium_poisson_7B_qps-auto-medium_burst-1_seed-0_mb-2,0005_E05_GovReport-GAO-1K_medium_poisson_7B_qps-auto-medium_burst-1_seed-0_mb-2,E05,GovReport-GAO-1K,medium_poisson,7B,Qwen/Qwen2.5-7B,1.57015433,1,0,200,2,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,200,0,173.6816755880136,1.1515319582384471,147.39609065452123,1657.284794296773,2990.866403854452,6384.7412614058685,719.2598716969012,1020.7810419515017,719.2598737867487,1981.1383151006885,,,,,110.84912828254424,163.0,20284.290363311768,101.42145181655884,0.792355092316866,1.262060419244578,1.3297000430966146
0006_E05_GovReport-GAO-1K_medium_poisson_7B_qps-auto-medium_burst-1_seed-0_mb-4,0006_E05_GovReport-GAO-1K_medium_poisson_7B_qps-auto-medium_burst-1_seed-0_mb-4,E05,GovReport-GAO-1K,medium_poisson,7B,Qwen/Qwen2.5-7B,1.57015433,1,0,200,4,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,200,0,199.94092317996547,1.0002954713777197,128.03782033634812,1439.625242406814,2531.3240633299574,5358.468096377328,831.4933516206605,1029.14073290615,831.4933536888016,1761.6044283472002,,,,,123.24910119625444,159.0,25697.65807414055,128.48829037070274,1.0038147685211152,0.9961997286344617,1.0388539883343118
0007_E08_GovReport-GAO-1K_high_poisson_7B_qps-auto-high_burst-1_seed-0_mb-2,0007_E08_GovReport-GAO-1K_high_poisson_7B_qps-auto-high_burst-1_seed-0_mb-2,E08,GovReport-GAO-1K,high_poisson,7B,Qwen/Qwen2.5-7B,3.14030866,1,0,200,2,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,200,0,147.2798580660019,1.3579589403893377,173.81874436983523,1954.3745070083348,17260.073308036663,40954.7190676257,696.1147027709393,980.8661881754887,696.1147048421878,1938.1043720222078,,,,,116.88929345292867,159.0,18246.586827993393,91.23293413996697,0.712757297968492,1.4030021198663418,1.4870373430722468
0008_E08_GovReport-GAO-1K_high_poisson_7B_qps-auto-high_burst-1_seed-0_mb-4,0008_E08_GovReport-GAO-1K_high_poisson_7B_qps-auto-high_burst-1_seed-0_mb-4,E08,GovReport-GAO-1K,high_poisson,7B,Qwen/Qwen2.5-7B,3.14030866,1,0,200,4,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,200,0,175.18240278493613,1.141667181295209,146.13339920578676,1643.0874073200648,18403.32319076406,40504.24800646491,851.2407552301663,1089.5195196171137,851.2407571335202,1757.019983434584,,,,,119.84089303212868,153.0,22063.24466919899,110.31622334599496,0.8618454948905856,1.160300780045214,1.2193951122060582
0009_E06_GovReport-GAO-1K_medium_poisson_14B_qps-auto-medium_burst-1_seed-0_mb-2,0009_E06_GovReport-GAO-1K_medium_poisson_14B_qps-auto-medium_burst-1_seed-0_mb-2,E06,GovReport-GAO-1K,medium_poisson,14B,Qwen/Qwen2.5-14B,0.639992226,1,0,200,2,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,200,0,448.9061422108207,0.44552743033325126,57.02751108265616,641.2030777356152,26394.54656773829,72728.72086061396,1117.8330279108482,1334.5092360940616,1117.8330299733427,3429.510455380659,,,,,121.64029831636026,172.0,55701.95179152489,278.50975895762446,2.175857491856441,0.45958892240998755,0.4688208749237022
0010_E06_GovReport-GAO-1K_medium_poisson_14B_qps-auto-medium_burst-1_seed-0_mb-4,0010_E06_GovReport-GAO-1K_medium_poisson_14B_qps-auto-medium_burst-1_seed-0_mb-4,E06,GovReport-GAO-1K,medium_poisson,14B,Qwen/Qwen2.5-14B,0.639992226,1,0,200,4,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,200,0,554.1296349312179,0.36092637424963797,46.19857590395366,519.445237820079,43479.33613708243,126903.79251678007,1369.5844447144352,1521.3003274608827,1369.5844470056168,3013.811062097084,,,,,134.4213495544046,168.0,75623.6385486126,378.118192743063,2.9540483808051796,0.3385184909285175,0.34368480942274443
