run_id,source_run_id,scenario_id,dataset,scenario,model_label,model,request_rate,burstiness,seed,num_prompts,micro_batch,dataset_name,dataset_path,success,failed,duration_s,req_s,out_tok_s,total_tok_s,mean_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms,mean_itl_ms,p99_itl_ms,pp_makespan_ms,bubble_pct,overlap_pct,idle_pct,avg_power_w,max_power_w,energy_j,energy_per_request_j,energy_per_output_token_j,tokens_per_joule,output_tokens_per_second_per_watt
0001_E04_GovReport-GAO-1K_medium_poisson_3B_qps-auto-medium_burst-1_seed-0_mb-adaptive,0001_E04_GovReport-GAO-1K_medium_poisson_3B_qps-auto-medium_burst-1_seed-0_mb-adaptive,E04,GovReport-GAO-1K,medium_poisson,3B,Qwen/Qwen2.5-3B,0.900203351,1,0,200,adaptive,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,200,0,262.452354114037,0.7620430789243327,86.52999161185797,1085.720876697443,1171.0721107793506,2751.793381995518,520.7395548442943,705.8098529374306,519.1804911520209,1462.6393402507529,223.811,65.81,7.27,,46.900919125876776,142.0,12728.199775218964,63.64099887609482,0.5604667448357096,1.784227180674442,1.8449530035780586
0002_E07_GovReport-GAO-1K_high_poisson_3B_qps-auto-high_burst-1_seed-0_mb-adaptive,0002_E07_GovReport-GAO-1K_high_poisson_3B_qps-auto-high_burst-1_seed-0_mb-adaptive,E07,GovReport-GAO-1K,high_poisson,3B,Qwen/Qwen2.5-3B,1.8004067,1,0,200,adaptive,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,200,0,196.86616236297414,1.0159186200381547,111.39547668718366,1443.4679712812122,3930.0581331003923,8658.953885515213,997.463783266723,1516.4944961915578,981.7662963940039,2005.2992120478305,419.737,64.07,20.75,,48.13313267619198,134.0,9922.853764295578,49.61426882147789,0.4524785118237838,2.2100497015191887,2.314320105374796
0003_E05_GovReport-GAO-1K_medium_poisson_7B_qps-auto-medium_burst-1_seed-0_mb-adaptive,0003_E05_GovReport-GAO-1K_medium_poisson_7B_qps-auto-medium_burst-1_seed-0_mb-adaptive,E05,GovReport-GAO-1K,medium_poisson,7B,Qwen/Qwen2.5-7B,0.642137521,1,0,200,adaptive,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,200,0,359.16503166477196,0.5568470824483569,67.39520238872464,797.5330968950102,1377.1337578154635,3267.919467538594,596.0688884799706,757.7035872937911,592.982952623651,1592.7273432607763,268.850,61.23,10.04,,71.22422065181404,151.0,26242.431445598602,131.212157227993,1.0841292012558292,0.9223992849206756,0.9462399415809982
0004_E08_GovReport-GAO-1K_high_poisson_7B_qps-auto-high_burst-1_seed-0_mb-adaptive,0004_E08_GovReport-GAO-1K_high_poisson_7B_qps-auto-high_burst-1_seed-0_mb-adaptive,E08,GovReport-GAO-1K,high_poisson,7B,Qwen/Qwen2.5-7B,1.28427504,1,0,200,adaptive,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,200,0,261.9438000798691,0.7635225568958613,94.24922442322513,1095.3800010250786,4411.835334007628,10411.600428684615,1225.373789375138,1738.990188735921,1220.8894275898547,2604.347753301263,532.349,61.49,20.22,,60.26979987226156,161.0,16335.127530097961,81.6756376504898,0.6616626510895156,1.5113441847644973,1.5637885744266788
0005_E06_GovReport-GAO-1K_medium_poisson_14B_qps-auto-medium_burst-1_seed-0_mb-adaptive,0005_E06_GovReport-GAO-1K_medium_poisson_14B_qps-auto-medium_burst-1_seed-0_mb-adaptive,E06,GovReport-GAO-1K,medium_poisson,14B,Qwen/Qwen2.5-14B,0.338333578,1,0,200,adaptive,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,200,0,665.3804584150203,0.30057991254569316,31.993725891363578,426.1141072212764,2481.6450428112876,5649.801723684648,959.524884176122,1369.3810892463061,950.7494947746704,3047.842609018553,439.816,55.04,8.88,,82.65706792305183,165.0,55684.541560173035,278.42270780086517,2.6157713998578087,0.38229640405669973,0.38706582141466217
0006_E09_GovReport-GAO-1K_high_poisson_14B_qps-auto-high_burst-1_seed-0_mb-adaptive,0006_E09_GovReport-GAO-1K_high_poisson_14B_qps-auto-high_burst-1_seed-0_mb-adaptive,E09,GovReport-GAO-1K,high_poisson,14B,Qwen/Qwen2.5-14B,0.676667155,1,0,200,adaptive,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,200,0,494.55886234808713,0.40440080084791463,44.73481658979632,574.985146661582,45824.25452342024,100221.25399584646,1552.626230031662,2882.677962485596,1504.1775938587,3930.692215641029,702.490,55.11,15.38,,81.07612284247985,166.0,40896.71947789192,204.48359738945962,1.848522847491047,0.540972485872855,0.5517631458118704
0007_E05_GovReport-GAO-2K_medium_poisson_3B_qps-auto-medium_burst-1_seed-0_mb-adaptive,0007_E05_GovReport-GAO-2K_medium_poisson_3B_qps-auto-medium_burst-1_seed-0_mb-adaptive,E05,GovReport-GAO-2K,medium_poisson,3B,Qwen/Qwen2.5-3B,0.479756523,1,0,200,adaptive,custom,/workspace/DATASET/vllm_custom/gov_report_gao_2K.jsonl,200,0,452.0176576420199,0.4424605911267123,50.04229285643116,1205.1409735666045,1900.9750035649631,4960.084973119662,474.3088424856778,715.7323040010949,468.18410651254646,1630.615757512866,206.546,60.32,9.56,,52.26857525260757,133.0,24161.34230518341,120.80671152591705,1.0681406854634576,0.936206263471846,0.9574068666418195
0008_E08_GovReport-GAO-2K_high_poisson_3B_qps-auto-high_burst-1_seed-0_mb-adaptive,0008_E08_GovReport-GAO-2K_high_poisson_3B_qps-auto-high_burst-1_seed-0_mb-adaptive,E08,GovReport-GAO-2K,high_poisson,3B,Qwen/Qwen2.5-3B,0.959513046,1,0,200,adaptive,custom,/workspace/DATASET/vllm_custom/gov_report_gao_2K.jsonl,200,0,337.2944788278546,0.5929536726928585,69.72542237195323,1617.7051041457469,22125.50548427622,55154.35656460932,1377.9105843613966,1990.7742517900613,1369.2897917796934,2480.6439146306366,538.849,57.59,25.03,,61.967251044425204,143.0,21516.4109480381,107.5820547401905,0.9148911875175654,1.0930261583493508,1.1251979262718317
0009_E06_GovReport-GAO-2K_medium_poisson_7B_qps-auto-medium_burst-1_seed-0_mb-adaptive,0009_E06_GovReport-GAO-2K_medium_poisson_7B_qps-auto-medium_burst-1_seed-0_mb-adaptive,E06,GovReport-GAO-2K,medium_poisson,7B,Qwen/Qwen2.5-7B,0.331775135,1,0,200,adaptive,custom,/workspace/DATASET/vllm_custom/gov_report_gao_2K.jsonl,200,0,648.1910124160349,0.3085510230302792,37.974917159451614,843.4859316578743,2361.5485650883056,5989.900386128573,558.7015408203622,780.1499512555318,558.9082306690175,2066.209020363167,252.341,58.03,8.38,,73.07177133677749,161.0,48009.1094686985,240.0455473434925,1.9504005471744261,0.5127151966034437,0.5196933982129786
0010_E09_GovReport-GAO-2K_high_poisson_7B_qps-auto-high_burst-1_seed-0_mb-adaptive,0010_E09_GovReport-GAO-2K_high_poisson_7B_qps-auto-high_burst-1_seed-0_mb-adaptive,E09,GovReport-GAO-2K,high_poisson,7B,Qwen/Qwen2.5-7B,0.663550269,1,0,200,adaptive,custom,/workspace/DATASET/vllm_custom/gov_report_gao_2K.jsonl,200,0,447.99024415016174,0.44643829326998036,55.60388942677605,1221.0868587947184,23267.692232613917,55100.082438427475,1768.8436595931516,2517.2265837060245,1767.74338165737,3294.63631978957,691.800,54.58,25.33,,75.74799299268884,166.0,34625.16122221947,173.12580611109735,1.390010486640685,0.7194190328856835,0.7340641940459454
