run_id,scenario_id,dataset,scenario,model_label,model,request_rate,burstiness,seed,num_prompts,micro_batch,max_model_len,host,port,pp_size,tp_size,dtype,dataset_name,dataset_path,dataset_extra_args
0001_E01_ShareGPT_low_poisson_3B_qps-3_burst-1_seed-0_mb-1,E01,ShareGPT,low_poisson,3B,Qwen/Qwen2.5-3B,3,1,0,200,1,4096,127.0.0.1,8000,2,1,float16,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,
0002_E01_ShareGPT_low_poisson_3B_qps-3_burst-1_seed-0_mb-2,E01,ShareGPT,low_poisson,3B,Qwen/Qwen2.5-3B,3,1,0,200,2,4096,127.0.0.1,8000,2,1,float16,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,
0003_E01_ShareGPT_low_poisson_3B_qps-3_burst-1_seed-0_mb-4,E01,ShareGPT,low_poisson,3B,Qwen/Qwen2.5-3B,3,1,0,200,4,4096,127.0.0.1,8000,2,1,float16,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,
0004_E04_ShareGPT_medium_poisson_3B_qps-4_burst-1_seed-0_mb-1,E04,ShareGPT,medium_poisson,3B,Qwen/Qwen2.5-3B,4,1,0,200,1,4096,127.0.0.1,8000,2,1,float16,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,
0005_E04_ShareGPT_medium_poisson_3B_qps-4_burst-1_seed-0_mb-2,E04,ShareGPT,medium_poisson,3B,Qwen/Qwen2.5-3B,4,1,0,200,2,4096,127.0.0.1,8000,2,1,float16,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,
0006_E04_ShareGPT_medium_poisson_3B_qps-4_burst-1_seed-0_mb-4,E04,ShareGPT,medium_poisson,3B,Qwen/Qwen2.5-3B,4,1,0,200,4,4096,127.0.0.1,8000,2,1,float16,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,
0007_E07_ShareGPT_high_poisson_3B_qps-6_burst-1_seed-0_mb-1,E07,ShareGPT,high_poisson,3B,Qwen/Qwen2.5-3B,6,1,0,200,1,4096,127.0.0.1,8000,2,1,float16,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,
0008_E07_ShareGPT_high_poisson_3B_qps-6_burst-1_seed-0_mb-2,E07,ShareGPT,high_poisson,3B,Qwen/Qwen2.5-3B,6,1,0,200,2,4096,127.0.0.1,8000,2,1,float16,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,
0009_E07_ShareGPT_high_poisson_3B_qps-6_burst-1_seed-0_mb-4,E07,ShareGPT,high_poisson,3B,Qwen/Qwen2.5-3B,6,1,0,200,4,4096,127.0.0.1,8000,2,1,float16,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,
0010_E02_ShareGPT_low_poisson_7B_qps-3_burst-1_seed-0_mb-1,E02,ShareGPT,low_poisson,7B,Qwen/Qwen2.5-7B,3,1,0,200,1,4096,127.0.0.1,8000,2,1,float16,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,
0011_E02_ShareGPT_low_poisson_7B_qps-3_burst-1_seed-0_mb-2,E02,ShareGPT,low_poisson,7B,Qwen/Qwen2.5-7B,3,1,0,200,2,4096,127.0.0.1,8000,2,1,float16,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,
0012_E02_ShareGPT_low_poisson_7B_qps-3_burst-1_seed-0_mb-4,E02,ShareGPT,low_poisson,7B,Qwen/Qwen2.5-7B,3,1,0,200,4,4096,127.0.0.1,8000,2,1,float16,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,
0013_E05_ShareGPT_medium_poisson_7B_qps-4_burst-1_seed-0_mb-1,E05,ShareGPT,medium_poisson,7B,Qwen/Qwen2.5-7B,4,1,0,200,1,4096,127.0.0.1,8000,2,1,float16,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,
0014_E05_ShareGPT_medium_poisson_7B_qps-4_burst-1_seed-0_mb-2,E05,ShareGPT,medium_poisson,7B,Qwen/Qwen2.5-7B,4,1,0,200,2,4096,127.0.0.1,8000,2,1,float16,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,
0015_E05_ShareGPT_medium_poisson_7B_qps-4_burst-1_seed-0_mb-4,E05,ShareGPT,medium_poisson,7B,Qwen/Qwen2.5-7B,4,1,0,200,4,4096,127.0.0.1,8000,2,1,float16,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,
0016_E08_ShareGPT_high_poisson_7B_qps-6_burst-1_seed-0_mb-1,E08,ShareGPT,high_poisson,7B,Qwen/Qwen2.5-7B,6,1,0,200,1,4096,127.0.0.1,8000,2,1,float16,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,
0017_E08_ShareGPT_high_poisson_7B_qps-6_burst-1_seed-0_mb-2,E08,ShareGPT,high_poisson,7B,Qwen/Qwen2.5-7B,6,1,0,200,2,4096,127.0.0.1,8000,2,1,float16,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,
0018_E08_ShareGPT_high_poisson_7B_qps-6_burst-1_seed-0_mb-4,E08,ShareGPT,high_poisson,7B,Qwen/Qwen2.5-7B,6,1,0,200,4,4096,127.0.0.1,8000,2,1,float16,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,
0019_E03_ShareGPT_low_poisson_14B_qps-2.5_burst-1_seed-0_mb-1,E03,ShareGPT,low_poisson,14B,Qwen/Qwen2.5-14B,2.5,1,0,200,1,4096,127.0.0.1,8000,2,1,float16,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,
0020_E03_ShareGPT_low_poisson_14B_qps-2.5_burst-1_seed-0_mb-2,E03,ShareGPT,low_poisson,14B,Qwen/Qwen2.5-14B,2.5,1,0,200,2,4096,127.0.0.1,8000,2,1,float16,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,
0021_E03_ShareGPT_low_poisson_14B_qps-2.5_burst-1_seed-0_mb-4,E03,ShareGPT,low_poisson,14B,Qwen/Qwen2.5-14B,2.5,1,0,200,4,4096,127.0.0.1,8000,2,1,float16,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,
0022_E06_ShareGPT_medium_poisson_14B_qps-3_burst-1_seed-0_mb-1,E06,ShareGPT,medium_poisson,14B,Qwen/Qwen2.5-14B,3,1,0,200,1,4096,127.0.0.1,8000,2,1,float16,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,
0023_E06_ShareGPT_medium_poisson_14B_qps-3_burst-1_seed-0_mb-2,E06,ShareGPT,medium_poisson,14B,Qwen/Qwen2.5-14B,3,1,0,200,2,4096,127.0.0.1,8000,2,1,float16,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,
0024_E06_ShareGPT_medium_poisson_14B_qps-3_burst-1_seed-0_mb-4,E06,ShareGPT,medium_poisson,14B,Qwen/Qwen2.5-14B,3,1,0,200,4,4096,127.0.0.1,8000,2,1,float16,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,
0025_E09_ShareGPT_high_poisson_14B_qps-4_burst-1_seed-0_mb-1,E09,ShareGPT,high_poisson,14B,Qwen/Qwen2.5-14B,4,1,0,200,1,4096,127.0.0.1,8000,2,1,float16,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,
0026_E09_ShareGPT_high_poisson_14B_qps-4_burst-1_seed-0_mb-2,E09,ShareGPT,high_poisson,14B,Qwen/Qwen2.5-14B,4,1,0,200,2,4096,127.0.0.1,8000,2,1,float16,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,
0027_E09_ShareGPT_high_poisson_14B_qps-4_burst-1_seed-0_mb-4,E09,ShareGPT,high_poisson,14B,Qwen/Qwen2.5-14B,4,1,0,200,4,4096,127.0.0.1,8000,2,1,float16,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,
0028_E10_APBench_low_poisson_3B_qps-1.5_burst-1_seed-0_mb-1,E10,APBench,low_poisson,3B,Qwen/Qwen2.5-3B,1.5,1,0,200,1,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,
0029_E10_APBench_low_poisson_3B_qps-1.5_burst-1_seed-0_mb-2,E10,APBench,low_poisson,3B,Qwen/Qwen2.5-3B,1.5,1,0,200,2,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,
0030_E10_APBench_low_poisson_3B_qps-1.5_burst-1_seed-0_mb-4,E10,APBench,low_poisson,3B,Qwen/Qwen2.5-3B,1.5,1,0,200,4,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,
0031_E13_APBench_medium_poisson_3B_qps-2_burst-1_seed-0_mb-1,E13,APBench,medium_poisson,3B,Qwen/Qwen2.5-3B,2,1,0,200,1,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,
0032_E13_APBench_medium_poisson_3B_qps-2_burst-1_seed-0_mb-2,E13,APBench,medium_poisson,3B,Qwen/Qwen2.5-3B,2,1,0,200,2,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,
0033_E13_APBench_medium_poisson_3B_qps-2_burst-1_seed-0_mb-4,E13,APBench,medium_poisson,3B,Qwen/Qwen2.5-3B,2,1,0,200,4,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,
0034_E16_APBench_high_poisson_3B_qps-3_burst-1_seed-0_mb-1,E16,APBench,high_poisson,3B,Qwen/Qwen2.5-3B,3,1,0,200,1,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,
0035_E16_APBench_high_poisson_3B_qps-3_burst-1_seed-0_mb-2,E16,APBench,high_poisson,3B,Qwen/Qwen2.5-3B,3,1,0,200,2,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,
0036_E16_APBench_high_poisson_3B_qps-3_burst-1_seed-0_mb-4,E16,APBench,high_poisson,3B,Qwen/Qwen2.5-3B,3,1,0,200,4,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,
0037_E11_APBench_low_poisson_7B_qps-1.5_burst-1_seed-0_mb-1,E11,APBench,low_poisson,7B,Qwen/Qwen2.5-7B,1.5,1,0,200,1,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,
0038_E11_APBench_low_poisson_7B_qps-1.5_burst-1_seed-0_mb-2,E11,APBench,low_poisson,7B,Qwen/Qwen2.5-7B,1.5,1,0,200,2,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,
0039_E11_APBench_low_poisson_7B_qps-1.5_burst-1_seed-0_mb-4,E11,APBench,low_poisson,7B,Qwen/Qwen2.5-7B,1.5,1,0,200,4,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,
0040_E14_APBench_medium_poisson_7B_qps-2_burst-1_seed-0_mb-1,E14,APBench,medium_poisson,7B,Qwen/Qwen2.5-7B,2,1,0,200,1,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,
0041_E14_APBench_medium_poisson_7B_qps-2_burst-1_seed-0_mb-2,E14,APBench,medium_poisson,7B,Qwen/Qwen2.5-7B,2,1,0,200,2,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,
0042_E14_APBench_medium_poisson_7B_qps-2_burst-1_seed-0_mb-4,E14,APBench,medium_poisson,7B,Qwen/Qwen2.5-7B,2,1,0,200,4,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,
0043_E17_APBench_high_poisson_7B_qps-3_burst-1_seed-0_mb-1,E17,APBench,high_poisson,7B,Qwen/Qwen2.5-7B,3,1,0,200,1,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,
0044_E17_APBench_high_poisson_7B_qps-3_burst-1_seed-0_mb-2,E17,APBench,high_poisson,7B,Qwen/Qwen2.5-7B,3,1,0,200,2,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,
0045_E17_APBench_high_poisson_7B_qps-3_burst-1_seed-0_mb-4,E17,APBench,high_poisson,7B,Qwen/Qwen2.5-7B,3,1,0,200,4,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,
0046_E12_APBench_low_poisson_14B_qps-1.25_burst-1_seed-0_mb-1,E12,APBench,low_poisson,14B,Qwen/Qwen2.5-14B,1.25,1,0,200,1,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,
0047_E12_APBench_low_poisson_14B_qps-1.25_burst-1_seed-0_mb-2,E12,APBench,low_poisson,14B,Qwen/Qwen2.5-14B,1.25,1,0,200,2,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,
0048_E12_APBench_low_poisson_14B_qps-1.25_burst-1_seed-0_mb-4,E12,APBench,low_poisson,14B,Qwen/Qwen2.5-14B,1.25,1,0,200,4,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,
0049_E15_APBench_medium_poisson_14B_qps-1.5_burst-1_seed-0_mb-1,E15,APBench,medium_poisson,14B,Qwen/Qwen2.5-14B,1.5,1,0,200,1,4096,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,
