run_id,scenario_id,dataset,scenario,model_label,model,request_rate,burstiness,seed,num_prompts,micro_batch,max_model_len,host,port,pp_size,tp_size,dtype,dataset_name,dataset_path,dataset_extra_args
0028_E09_GovReport-GAO-2K_high_poisson_7B_qps-auto-high_burst-1_seed-0_mb-1,E09,GovReport-GAO-2K,high_poisson,7B,Qwen/Qwen2.5-7B,auto-high,1,0,200,1,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_2K.jsonl,--custom-output-len 128 --skip-chat-template
0029_E09_GovReport-GAO-2K_high_poisson_7B_qps-auto-high_burst-1_seed-0_mb-2,E09,GovReport-GAO-2K,high_poisson,7B,Qwen/Qwen2.5-7B,auto-high,1,0,200,2,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_2K.jsonl,--custom-output-len 128 --skip-chat-template
0030_E09_GovReport-GAO-2K_high_poisson_7B_qps-auto-high_burst-1_seed-0_mb-4,E09,GovReport-GAO-2K,high_poisson,7B,Qwen/Qwen2.5-7B,auto-high,1,0,200,4,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_2K.jsonl,--custom-output-len 128 --skip-chat-template
0040_E09_GovReport-GAO-3K_high_poisson_3B_qps-auto-high_burst-1_seed-0_mb-1,E09,GovReport-GAO-3K,high_poisson,3B,Qwen/Qwen2.5-3B,auto-high,1,0,200,1,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3K.jsonl,--custom-output-len 128 --skip-chat-template
0041_E09_GovReport-GAO-3K_high_poisson_3B_qps-auto-high_burst-1_seed-0_mb-2,E09,GovReport-GAO-3K,high_poisson,3B,Qwen/Qwen2.5-3B,auto-high,1,0,200,2,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3K.jsonl,--custom-output-len 128 --skip-chat-template
0042_E09_GovReport-GAO-3K_high_poisson_3B_qps-auto-high_burst-1_seed-0_mb-4,E09,GovReport-GAO-3K,high_poisson,3B,Qwen/Qwen2.5-3B,auto-high,1,0,200,4,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3K.jsonl,--custom-output-len 128 --skip-chat-template
0049_E08_GovReport-GAO-3K_medium_poisson_14B_qps-auto-medium_burst-1_seed-0_mb-1,E08,GovReport-GAO-3K,medium_poisson,14B,Qwen/Qwen2.5-14B,auto-medium,1,0,200,1,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3K.jsonl,--custom-output-len 128 --skip-chat-template
0050_E08_GovReport-GAO-3K_medium_poisson_14B_qps-auto-medium_burst-1_seed-0_mb-2,E08,GovReport-GAO-3K,medium_poisson,14B,Qwen/Qwen2.5-14B,auto-medium,1,0,200,2,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3K.jsonl,--custom-output-len 128 --skip-chat-template
0051_E08_GovReport-GAO-3K_medium_poisson_14B_qps-auto-medium_burst-1_seed-0_mb-4,E08,GovReport-GAO-3K,medium_poisson,14B,Qwen/Qwen2.5-14B,auto-medium,1,0,200,4,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3K.jsonl,--custom-output-len 128 --skip-chat-template
0118_E28_LongBench-QMSum-3K_high_poisson_7B_qps-auto-high_burst-1_seed-0_mb-1,E28,LongBench-QMSum-3K,high_poisson,7B,Qwen/Qwen2.5-7B,auto-high,1,0,200,1,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/longbench_qmsum_3K.jsonl,--custom-output-len 128 --skip-chat-template
0119_E28_LongBench-QMSum-3K_high_poisson_7B_qps-auto-high_burst-1_seed-0_mb-2,E28,LongBench-QMSum-3K,high_poisson,7B,Qwen/Qwen2.5-7B,auto-high,1,0,200,2,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/longbench_qmsum_3K.jsonl,--custom-output-len 128 --skip-chat-template
0120_E28_LongBench-QMSum-3K_high_poisson_7B_qps-auto-high_burst-1_seed-0_mb-4,E28,LongBench-QMSum-3K,high_poisson,7B,Qwen/Qwen2.5-7B,auto-high,1,0,200,4,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/longbench_qmsum_3K.jsonl,--custom-output-len 128 --skip-chat-template
