run_id,scenario_id,dataset,scenario,model_label,model,request_rate,burstiness,seed,num_prompts,micro_batch,dataset_name,dataset_path,success,failed,duration_s,req_s,out_tok_s,total_tok_s,mean_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms,mean_itl_ms,p99_itl_ms,pp_makespan_ms,bubble_pct,overlap_pct,idle_pct,avg_power_w,max_power_w,energy_j,energy_per_request_j,energy_per_output_token_j,tokens_per_joule,output_tokens_per_second_per_watt
0067_E07_GovReport-GAO-3K_medium_poisson_7B_qps-auto-medium_burst-1_seed-0_mb-1,E07,GovReport-GAO-3K,medium_poisson,7B,Qwen/Qwen2.5-7B,0.216074416,1,0,200,1,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3K.jsonl,200,0,977.8532929839566,0.2045296584211445,25.33611143691928,823.9385251149517,8523.617114516674,23599.882960994713,1140.8058454634067,1961.7057282123606,1135.3760527505985,3901.8819209514186,432.040,59.74,0.00,,65.37595496112559,160.0,64520.26746439934,322.6013373219967,2.6042489390272183,0.38398786883005753,0.387544800714343
0068_E07_GovReport-GAO-3K_medium_poisson_7B_qps-auto-medium_burst-1_seed-0_mb-2,E07,GovReport-GAO-3K,medium_poisson,7B,Qwen/Qwen2.5-7B,0.216074416,1,0,200,2,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3K.jsonl,200,0,983.590731464792,0.20333660495372313,25.13240437228018,819.0764453424885,3556.801115691196,10341.721267860847,712.6647900757962,1062.739631299337,707.4293727428461,2420.985883115791,326.534,44.73,48.19,,81.99926681050773,162.0,81436.65548610687,407.18327743053436,3.2943630860075594,0.3035488116799841,0.3064954767261359
0069_E07_GovReport-GAO-3K_medium_poisson_7B_qps-auto-medium_burst-1_seed-0_mb-4,E07,GovReport-GAO-3K,medium_poisson,7B,Qwen/Qwen2.5-7B,0.216074416,1,0,200,4,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3K.jsonl,200,0,1012.4986164628062,0.1975311341152306,25.04102187178778,796.3171375154349,3792.3597053380217,9841.39571319334,1023.8570486980811,1354.838574188065,1023.8171180247591,2424.971574174706,467.582,33.61,69.55,,95.44104546507491,157.0,97527.51188373566,487.6375594186783,3.846632163908482,0.25996766974046226,0.2623716216619938
0070_E10_GovReport-GAO-3K_high_poisson_7B_qps-auto-high_burst-1_seed-0_mb-1,E10,GovReport-GAO-3K,high_poisson,7B,Qwen/Qwen2.5-7B,0.432148832,1,0,200,1,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3K.jsonl,200,0,934.7343090609647,0.21396454378669405,26.557279174804467,861.9989575534544,158349.8185508442,390576.1989408242,3399.3565960876736,4908.309561789987,3388.842539372394,5479.389296125155,1362.020,58.69,0.00,,54.97094814332561,157.0,51904.970766067505,259.5248538303375,2.090918899696564,0.47825862597785157,0.4831148101277377
0071_E10_GovReport-GAO-3K_high_poisson_7B_qps-auto-high_burst-1_seed-0_mb-2,E10,GovReport-GAO-3K,high_poisson,7B,Qwen/Qwen2.5-7B,0.432148832,1,0,200,2,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3K.jsonl,200,0,747.0082440911792,0.2677346623440854,33.33832015508551,1078.7297280505545,74312.32396494248,194319.627073924,2573.870310130371,3688.816080288262,2572.098071442802,4325.314432815649,956.468,47.60,41.63,,70.68802788872472,162.0,53414.6032474041,267.0730162370205,2.1448202396162905,0.46623953911349725,0.4716261176159256
0072_E10_GovReport-GAO-3K_high_poisson_7B_qps-auto-high_burst-1_seed-0_mb-4,E10,GovReport-GAO-3K,high_poisson,7B,Qwen/Qwen2.5-7B,0.432148832,1,0,200,4,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3K.jsonl,200,0,704.2080430889037,0.2840069805546807,35.50087256933509,1144.4288487035303,52198.88414087007,124887.55276832494,2338.203563931896,3176.445600665437,2336.4892916703566,3536.3024722249247,928.926,38.27,62.93,,86.32834264615595,159.0,61602.693316459656,308.0134665822983,2.4641077326583862,0.4058264120299467,0.4112307902729774
0076_E08_GovReport-GAO-3K_medium_poisson_14B_qps-auto-medium_burst-1_seed-0_mb-1,E08,GovReport-GAO-3K,medium_poisson,14B,Qwen/Qwen2.5-14B,0.118426556,1,0,200,1,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3K.jsonl,200,0,1796.519457543036,0.11132637565391298,11.554564529119629,446.2373043798752,29830.593360385392,87821.50967653606,1867.4765114141321,2798.670100958911,1887.2890713681081,6844.958259975538,809.997,55.60,0.00,,70.52886319272179,166.0,127346.27857518196,636.7313928759098,6.134804825859041,0.16300437069894438,0.16382746022073982
0077_E08_GovReport-GAO-3K_medium_poisson_14B_qps-auto-medium_burst-1_seed-0_mb-2,E08,GovReport-GAO-3K,medium_poisson,14B,Qwen/Qwen2.5-14B,0.118426556,1,0,200,2,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3K.jsonl,200,0,1784.8061627820134,0.11205698645070564,11.076833110652252,448.6123012663485,7402.962019640254,20604.77154790888,1424.405521625507,3637.596385890305,1338.1403796040008,4907.783445992974,621.258,40.18,47.33,,93.64429639178259,172.0,168053.07913947105,840.2653956973553,8.500408656523573,0.1176414029497932,0.11828625487568145
0078_E08_GovReport-GAO-3K_medium_poisson_14B_qps-auto-medium_burst-1_seed-0_mb-4,E08,GovReport-GAO-3K,medium_poisson,14B,Qwen/Qwen2.5-14B,0.118426556,1,0,200,4,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3K.jsonl,200,0,1844.710845686961,0.10841807563912327,10.660749377594993,433.98779915660293,10158.854316186626,42524.61295409812,1741.1175349939592,2284.0585222045347,1744.3577202568304,4287.835622741841,785.985,29.74,66.56,,103.60464348150202,162.0,192176.76936149597,960.8838468074798,9.772031392326653,0.10233286814707078,0.10289837423646368
0079_E11_GovReport-GAO-3K_high_poisson_14B_qps-auto-high_burst-1_seed-0_mb-1,E11,GovReport-GAO-3K,high_poisson,14B,Qwen/Qwen2.5-14B,0.236853112,1,0,200,1,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3K.jsonl,200,0,1702.4688495809678,0.11747645194755041,12.110647431272973,470.8068521766394,370384.68615495367,769269.094590789,2259.6721472274,4253.302413061137,2207.913985661154,6876.552649163641,1083.402,56.02,0.00,,69.9356596200479,160.0,119738.19463682175,598.6909731841088,5.807459241285369,0.17219234065234165,0.1731684164712062
