run_id,scenario_id,dataset,scenario,model_label,model,request_rate,burstiness,seed,num_prompts,micro_batch,dataset_name,dataset_path,success,failed,duration_s,req_s,out_tok_s,total_tok_s,mean_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms,mean_itl_ms,p99_itl_ms,pp_makespan_ms,bubble_pct,overlap_pct,idle_pct,avg_power_w,max_power_w,energy_j,energy_per_request_j,energy_per_output_token_j,tokens_per_joule,output_tokens_per_second_per_watt
0001_E01_GovReport-GAO-1K_medium_poisson_3B_qps-auto-medium_burst-1_seed-0_mb-queue,E01,GovReport-GAO-1K,medium_poisson,3B,Qwen/Qwen2.5-3B,0.900203351,1,0,200,queue,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,200,0,296.00439654896036,0.6756656398747752,76.41102721343833,962.3438142172436,1446.1018641176634,2877.662895377725,800.9500634086044,945.8846154359917,798.7667905227586,1605.2034485479817,,,,,52.40587098221922,128.0,15963.753616333008,79.81876808166504,0.7057986389748434,1.416834695873709,1.4580623464757188
0002_E04_GovReport-GAO-1K_high_poisson_3B_qps-auto-high_burst-1_seed-0_mb-queue,E04,GovReport-GAO-1K,high_poisson,3B,Qwen/Qwen2.5-3B,1.8004067,1,0,200,queue,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,200,0,226.91111218510196,0.8814024049948276,100.5239442896601,1256.218777718878,4116.987787261605,9637.291515364777,1163.724024647161,1657.2114049501765,1149.2607338591972,2007.480611784849,,,,,54.92947614791081,128.0,12912.161003351212,64.56080501675606,0.566074572702815,1.7665517022348087,1.8300546689900195
0003_E02_GovReport-GAO-1K_medium_poisson_7B_qps-auto-medium_burst-1_seed-0_mb-queue,E02,GovReport-GAO-1K,medium_poisson,7B,Qwen/Qwen2.5-7B,0.642137521,1,0,200,queue,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,200,0,406.15961302188225,0.4924172507255782,59.38552043750473,705.0430195888829,1839.2066241218708,3585.602511882315,1024.4559972499608,1174.0354694918924,1021.0598256880978,2059.339549667202,,,,,83.32434895721171,167.0,34522.102449417114,172.61051224708558,1.4312646123307262,0.6986828231374782,0.7127030835608458
0004_E05_GovReport-GAO-1K_high_poisson_7B_qps-auto-high_burst-1_seed-0_mb-queue,E05,GovReport-GAO-1K,high_poisson,7B,Qwen/Qwen2.5-7B,1.28427504,1,0,200,queue,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,200,0,298.17292183311656,0.6707517194064233,80.46002250139752,959.9496769870998,4588.867322967853,10712.736166990362,1453.6731166155416,1688.671965194111,1452.2815926031128,2613.4641262702644,,,,,85.79734343775937,164.0,26301.93790769577,131.50968953847885,1.096325201437863,0.9121381125677586,0.9377915361652923
0005_E03_GovReport-GAO-1K_medium_poisson_14B_qps-auto-medium_burst-1_seed-0_mb-queue,E03,GovReport-GAO-1K,medium_poisson,14B,Qwen/Qwen2.5-14B,0.338333578,1,0,200,queue,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,200,0,743.4678500229493,0.2690096148660987,27.837114946343892,380.5625219587725,3125.582493278198,6165.146968753539,1696.5487368045012,2355.2749553453177,1691.1689362883644,3522.46385703329,,,,,104.67044808445958,173.0,78778.96369409561,393.89481847047807,3.806482590553518,0.26270972642346574,0.2659500886428026
0006_E06_GovReport-GAO-1K_high_poisson_14B_qps-auto-high_burst-1_seed-0_mb-queue,E06,GovReport-GAO-1K,high_poisson,14B,Qwen/Qwen2.5-14B,0.676667155,1,0,200,queue,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,200,0,600.141401053872,0.3332547957011333,35.53662513959035,472.50031326291634,62302.956479013665,135472.53215544857,1961.9954265762367,2949.374492609761,1923.7709082551091,3882.6779796741903,,,,,97.62031275166696,172.0,59487.75042843819,297.43875214219094,2.7893163796332434,0.35851078325201896,0.3640290031644416
0007_E02_GovReport-GAO-2K_medium_poisson_3B_qps-auto-medium_burst-1_seed-0_mb-queue,E02,GovReport-GAO-2K,medium_poisson,3B,Qwen/Qwen2.5-3B,0.479756523,1,0,200,queue,custom,/workspace/DATASET/vllm_custom/gov_report_gao_2K.jsonl,200,0,478.6095861410722,0.41787712948367306,47.13654020575832,1138.0570213640722,2391.656197558623,6072.344348831102,813.8452018132681,1034.6283625913636,815.2102879579375,1846.0405158856884,,,,,62.50217501078406,159.0,30474.626719474792,152.37313359737396,1.350825652458989,0.7402879847444709,0.7541583984497409
0008_E05_GovReport-GAO-2K_high_poisson_3B_qps-auto-high_burst-1_seed-0_mb-queue,E05,GovReport-GAO-2K,high_poisson,3B,Qwen/Qwen2.5-3B,0.959513046,1,0,200,queue,custom,/workspace/DATASET/vllm_custom/gov_report_gao_2K.jsonl,200,0,351.55359902698547,0.5689032925663432,62.9519938389287,1548.1451519949383,20732.380829281174,51233.624721253276,1479.1113444872478,2120.56774950852,1441.0718312643664,2415.8935136860237,,,,,64.81084215416367,157.0,23397.518253564835,116.98759126782417,1.0572282433493667,0.9458695473665516,0.9713188680558512
0009_E03_GovReport-GAO-2K_medium_poisson_7B_qps-auto-medium_burst-1_seed-0_mb-queue,E03,GovReport-GAO-2K,medium_poisson,7B,Qwen/Qwen2.5-7B,0.331775135,1,0,200,queue,custom,/workspace/DATASET/vllm_custom/gov_report_gao_2K.jsonl,200,0,689.5341016340535,0.29005091920188036,35.999669836741376,793.2138507781502,3099.3210905825254,7230.560480055862,1050.3524937693203,1279.9995123493984,1049.5016851615192,2406.433016937226,,,,,87.66008125939281,163.0,61237.35229516029,306.18676147580146,2.466960169808657,0.4053571728632985,0.41067347097495416
0010_E06_GovReport-GAO-2K_high_poisson_7B_qps-auto-high_burst-1_seed-0_mb-queue,E06,GovReport-GAO-2K,high_poisson,7B,Qwen/Qwen2.5-7B,0.663550269,1,0,200,queue,custom,/workspace/DATASET/vllm_custom/gov_report_gao_2K.jsonl,200,0,476.313903789036,0.41989116506786234,51.49125357227196,1147.66962637756,22407.13162236265,52855.812728179124,1919.9796372028816,2637.6238913406214,1911.7255284343503,3257.8794800210744,,,,,80.49407068495485,162.0,39037.7206029892,195.18860301494598,1.5916872136911522,0.6282641409683637,0.6396900185828991
