run_id,scenario_id,dataset,scenario,model_label,model,request_rate,burstiness,seed,num_prompts,micro_batch,dataset_name,dataset_path,success,failed,duration_s,req_s,out_tok_s,total_tok_s,mean_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms,mean_itl_ms,p99_itl_ms,pp_makespan_ms,bubble_pct,overlap_pct,idle_pct,avg_power_w,max_power_w,energy_j,energy_per_request_j,energy_per_output_token_j,tokens_per_joule,output_tokens_per_second_per_watt
0001_E01_GovReport-GAO-1K_medium_poisson_3B_qps-auto-medium_burst-1_seed-0_mb-queue,E01,GovReport-GAO-1K,medium_poisson,3B,Qwen/Qwen2.5-3B,2.34179515,1,0,200,queue,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,200,0,138.18086626008153,1.4473783919082084,185.26443416425067,2083.0669816342934,2253.6791524558794,4598.978295691777,605.3707263683516,762.893915284612,605.3707276985019,1296.3992371270433,,,,,88.33079923612283,132.0,12935.990460157394,64.67995230078697,0.5053121273498982,1.9789748669688274,2.0973933867507326
0002_E04_GovReport-GAO-1K_high_poisson_3B_qps-auto-high_burst-1_seed-0_mb-queue,E04,GovReport-GAO-1K,high_poisson,3B,Qwen/Qwen2.5-3B,4.68359029,1,0,200,queue,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,200,0,127.02864399296232,1.5744480434749857,201.52934956479817,2265.945624169199,14871.640579702798,32750.27325431816,618.1569729050838,788.1619977806034,618.1569743579562,1281.583940864075,,,,,93.69764062865872,144.0,12735.090409040451,63.675452045202256,0.4974644691031426,2.0101938170636733,2.1508476436829045
0003_E02_GovReport-GAO-1K_medium_poisson_7B_qps-auto-medium_burst-1_seed-0_mb-queue,E02,GovReport-GAO-1K,medium_poisson,7B,Qwen/Qwen2.5-7B,1.57015433,1,0,200,queue,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,200,0,199.56026157108136,1.0022035370441826,128.28205274165538,1442.3713305139877,2701.29544065916,5464.0876494534305,840.705210594937,1060.0790289526174,840.7052122692002,1784.5691431011073,,,,,121.02843984411113,165.0,25120.15095639229,125.60075478196144,0.9812558967340738,1.0191021560515585,1.059933127345004
0004_E05_GovReport-GAO-1K_high_poisson_7B_qps-auto-high_burst-1_seed-0_mb-queue,E05,GovReport-GAO-1K,high_poisson,7B,Qwen/Qwen2.5-7B,3.14030866,1,0,200,queue,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,200,0,176.88465645094402,1.1306803202315439,144.7270809896376,1627.275116877238,19236.74005515757,41864.995936232146,861.4628844065078,1102.0244615928334,861.4628857867077,1788.288995695766,,,,,119.82954781885242,159.0,22298.694568157196,111.49347284078598,0.8710427565686405,1.148049269061567,1.2077745733333072
0005_E03_GovReport-GAO-1K_medium_poisson_14B_qps-auto-medium_burst-1_seed-0_mb-queue,E03,GovReport-GAO-1K,medium_poisson,14B,Qwen/Qwen2.5-14B,0.639992226,1,0,200,queue,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,200,0,556.931050830055,0.35911088042571554,45.96619269449159,516.8323791086898,45431.29357695114,134304.40336833472,1392.1706413067182,1548.1155875523195,1392.1706427893726,3136.2026211316697,,,,,131.2449817206269,170.0,74161.87976670265,370.8093988335133,2.8969484283868225,0.3451908187944009,0.3502320019544594
0006_E06_GovReport-GAO-1K_high_poisson_14B_qps-auto-high_burst-1_seed-0_mb-queue,E06,GovReport-GAO-1K,high_poisson,14B,Qwen/Qwen2.5-14B,1.27998445,1,0,200,queue,custom,/workspace/DATASET/vllm_custom/gov_report_gao_1K.jsonl,200,0,524.5782019740436,0.38125869364639764,48.8011127867389,548.7075118958954,93616.74451809027,252683.88046769425,1370.261048761693,1921.3302100966962,1370.2610505566342,3127.10158043541,,,,,132.16909094905816,172.0,70546.2577021122,352.731288510561,2.755713191488758,0.3628824665384557,0.3692324161142054
0007_E02_GovReport-GAO-2K_medium_poisson_3B_qps-auto-medium_burst-1_seed-0_mb-queue,E02,GovReport-GAO-2K,medium_poisson,3B,Qwen/Qwen2.5-3B,1.03212466,1,0,200,queue,custom,/workspace/DATASET/vllm_custom/gov_report_gao_2K.jsonl,200,0,257.1844322439283,0.7776520462572503,99.53946192092803,2129.697335181262,5964.34014434577,12646.907492380114,941.3282785612234,1346.471151037776,941.3282806755733,1774.032129375264,,,,,93.11038107599865,144.0,24790.106468200684,123.95053234100342,0.9683635339140892,1.0326700303945124,1.0690479490109899
0008_E05_GovReport-GAO-2K_high_poisson_3B_qps-auto-high_burst-1_seed-0_mb-queue,E05,GovReport-GAO-2K,high_poisson,3B,Qwen/Qwen2.5-3B,2.06424933,1,0,200,queue,custom,/workspace/DATASET/vllm_custom/gov_report_gao_2K.jsonl,200,0,235.96373462094925,0.8475878732860319,108.49124778061208,2321.225339477959,37538.054057696136,87642.1990094916,987.6006534572425,1409.202155857787,987.6006551055277,1792.3076612106524,,,,,94.4955451686371,159.0,23190.953414916992,115.95476707458496,0.905896617770195,1.1038787212402164,1.148109655190604
0009_E03_GovReport-GAO-2K_medium_poisson_7B_qps-auto-medium_burst-1_seed-0_mb-queue,E03,GovReport-GAO-2K,medium_poisson,7B,Qwen/Qwen2.5-7B,0.701426576,1,0,200,queue,custom,/workspace/DATASET/vllm_custom/gov_report_gao_2K.jsonl,200,0,366.74535320093855,0.5453375162204732,69.80320207622057,1493.4749553592935,6244.492150110891,13233.326784153467,1233.4798385556255,1705.2236898545193,1233.4798404263465,2392.3311709915283,,,,,117.28951894591314,172.0,44241.75554418564,221.2087777209282,1.7281935759447515,0.5786388827729151,0.5951358885563305
0010_E06_GovReport-GAO-2K_high_poisson_7B_qps-auto-high_burst-1_seed-0_mb-queue,E06,GovReport-GAO-2K,high_poisson,7B,Qwen/Qwen2.5-7B,1.40285315,1,0,200,queue,custom,/workspace/DATASET/vllm_custom/gov_report_gao_2K.jsonl,200,0,329.57406971696764,0.6068438581098217,77.67601383805717,1661.9177609160106,48922.42789966869,114124.14393841986,1373.2094629718756,1952.5613229837465,1373.2094647255028,2468.7517112027854,,,,,117.16484131659954,170.0,39643.86678361893,198.21933391809463,1.5485885462351143,0.6457493195537138,0.6629635047954636
